新竹,#genre#
26,http://shuma04.chunfengyun.top:8080/live/26/hls.m3u8
29,http://shuma04.chunfengyun.top:8080/live/29/hls.m3u8
1,http://shuma04.chunfengyun.top:8080/live/1/hls.m3u8
19,http://shuma04.chunfengyun.top:8080/live/19/hls.m3u8
9,http://shuma04.chunfengyun.top:8080/live/9/hls.m3u8
6,http://shuma04.chunfengyun.top:8080/live/6/hls.m3u8
30,http://shuma04.chunfengyun.top:8080/live/30/hls.m3u8
4,http://shuma04.chunfengyun.top:8080/live/4/hls.m3u8
12,http://shuma04.chunfengyun.top:8080/live/12/hls.m3u8
5,http://shuma04.chunfengyun.top:8080/live/5/hls.m3u8
3,http://shuma04.chunfengyun.top:8080/live/3/hls.m3u8
11,http://shuma04.chunfengyun.top:8080/live/11/hls.m3u8
31,http://shuma04.chunfengyun.top:8080/live/31/hls.m3u8
10,http://shuma04.chunfengyun.top:8080/live/10/hls.m3u8
2,http://shuma04.chunfengyun.top:8080/live/2/hls.m3u8
20,http://shuma04.chunfengyun.top:8080/live/20/hls.m3u8
25,http://shuma04.chunfengyun.top:8080/live/25/hls.m3u8
34,http://shuma04.chunfengyun.top:8080/live/34/hls.m3u8
35,http://shuma04.chunfengyun.top:8080/live/35/hls.m3u8
8,http://shuma04.chunfengyun.top:8080/live/8/hls.m3u8
7,http://shuma04.chunfengyun.top:8080/live/7/hls.m3u8
22,http://shuma04.chunfengyun.top:8080/live/22/hls.m3u8
28,http://shuma04.chunfengyun.top:8080/live/28/hls.m3u8
27,http://shuma04.chunfengyun.top:8080/live/27/hls.m3u8
72,http://shuma04.chunfengyun.top:8080/live/72/hls.m3u8
64,http://shuma04.chunfengyun.top:8080/live/64/hls.m3u8
107,http://shuma04.chunfengyun.top:8080/live/107/hls.m3u8
46,http://shuma04.chunfengyun.top:8080/live/46/hls.m3u8
77,http://shuma04.chunfengyun.top:8080/live/77/hls.m3u8
51,http://shuma04.chunfengyun.top:8080/live/51/hls.m3u8
83,http://shuma04.chunfengyun.top:8080/live/83/hls.m3u8
62,http://shuma04.chunfengyun.top:8080/live/62/hls.m3u8
108,http://shuma04.chunfengyun.top:8080/live/108/hls.m3u8
56,http://shuma04.chunfengyun.top:8080/live/56/hls.m3u8
40,http://shuma04.chunfengyun.top:8080/live/40/hls.m3u8
63,http://shuma04.chunfengyun.top:8080/live/63/hls.m3u8
82,http://shuma04.chunfengyun.top:8080/live/82/hls.m3u8
84,http://shuma04.chunfengyun.top:8080/live/84/hls.m3u8
98,http://shuma04.chunfengyun.top:8080/live/98/hls.m3u8
65,http://shuma04.chunfengyun.top:8080/live/65/hls.m3u8
101,http://shuma04.chunfengyun.top:8080/live/101/hls.m3u8
42,http://shuma04.chunfengyun.top:8080/live/42/hls.m3u8
99,http://shuma04.chunfengyun.top:8080/live/99/hls.m3u8
81,http://shuma04.chunfengyun.top:8080/live/81/hls.m3u8
47,http://shuma04.chunfengyun.top:8080/live/47/hls.m3u8
66,http://shuma04.chunfengyun.top:8080/live/66/hls.m3u8
87,http://shuma04.chunfengyun.top:8080/live/87/hls.m3u8
71,http://shuma04.chunfengyun.top:8080/live/71/hls.m3u8
105,http://shuma04.chunfengyun.top:8080/live/105/hls.m3u8
80,http://shuma04.chunfengyun.top:8080/live/80/hls.m3u8
94,http://shuma04.chunfengyun.top:8080/live/94/hls.m3u8
45,http://shuma04.chunfengyun.top:8080/live/45/hls.m3u8
53,http://shuma04.chunfengyun.top:8080/live/53/hls.m3u8
102,http://shuma04.chunfengyun.top:8080/live/102/hls.m3u8
86,http://shuma04.chunfengyun.top:8080/live/86/hls.m3u8
92,http://shuma04.chunfengyun.top:8080/live/92/hls.m3u8
106,http://shuma04.chunfengyun.top:8080/live/106/hls.m3u8
54,http://shuma04.chunfengyun.top:8080/live/54/hls.m3u8
88,http://shuma04.chunfengyun.top:8080/live/88/hls.m3u8
61,http://shuma04.chunfengyun.top:8080/live/61/hls.m3u8
93,http://shuma04.chunfengyun.top:8080/live/93/hls.m3u8
109,http://shuma04.chunfengyun.top:8080/live/109/hls.m3u8
70,http://shuma04.chunfengyun.top:8080/live/70/hls.m3u8
57,http://shuma04.chunfengyun.top:8080/live/57/hls.m3u8
78,http://shuma04.chunfengyun.top:8080/live/78/hls.m3u8
52,http://shuma04.chunfengyun.top:8080/live/52/hls.m3u8
44,http://shuma04.chunfengyun.top:8080/live/44/hls.m3u8
48,http://shuma04.chunfengyun.top:8080/live/48/hls.m3u8
67,http://shuma04.chunfengyun.top:8080/live/67/hls.m3u8
85,http://shuma04.chunfengyun.top:8080/live/85/hls.m3u8
41,http://shuma04.chunfengyun.top:8080/live/41/hls.m3u8
110,http://shuma04.chunfengyun.top:8080/live/110/hls.m3u8
111,http://shuma04.chunfengyun.top:8080/live/111/hls.m3u8

?182,https://ch.hello3dmax.com/RH2102UKL/index.m3u8
?183,https://ch.hello3dmax.com/RH1739HRJ/index.m3u8
?184,https://ch.hello3dmax.com/RH189RRQ/index.m3u8
?185,https://ch.hello3dmax.com/RH1740MFF/index.m3u8
?186,https://ch.hello3dmax.com/RH2347DXK/index.m3u8
?187,https://ch.hello3dmax.com/RH2468LPW/index.m3u8
?188,https://ch.hello3dmax.com/RH2579JLT/index.m3u8
?189,https://ch.hello3dmax.com/RH2469RKW/index.m3u8
?190,https://ch.hello3dmax.com/CTG5UHS/index.m3u8
?191,https://ch.hello3dmax.com/SYYY3UGP/index.m3u8
?192,https://ch.hello3dmax.com/SYYY4ERA/index.m3u8
?193,https://ch.hello3dmax.com/RH190HSA/index.m3u8
?194,https://ch.hello3dmax.com/RH2597DFE/index.m3u8
?195,https://ch.hello3dmax.com/RH191KCN/index.m3u8
?196,https://ch.hello3dmax.com/RH2349BWV/index.m3u8
?197,https://ch.hello3dmax.com/SYYY5NKA/index.m3u8
?198,https://ch.hello3dmax.com/RH2470FMU/index.m3u8
?199,https://ch.hello3dmax.com/RH2485NWP/index.m3u8
?200,https://ch.hello3dmax.com/RH197FBV/index.m3u8
?201,https://ch.hello3dmax.com/RH1804NHN/index.m3u8
?01,https://fc.imgscloud.com/d/mpqqfrptos/mpqqfrptos.m3u8
?01,https://fc.imgscloud.com/d/mpqqfrptos/mpqqfrptos.m3u8
?02,https://fc.imgscloud.com/m/cvvyongqgl/cvvyongqgl.m3u8
?03,https://fc.imgscloud.com/f/wwdailmivw/wwdailmivw.m3u8
?04,https://fc.imgscloud.com/g/hnggdzwddo/hnggdzwddo.m3u8
?05,https://fc.imgscloud.com/c/ftnixfwztp/ftnixfwztp.m3u8
?06,https://fc.imgscloud.com/d/qfpijlufnk/qfpijlufnk.m3u8
?07,https://fc.imgscloud.com/f/noonngqoer/noonngqoer.m3u8
?08,https://fc.imgscloud.com/e/lpbkyjnxgx/lpbkyjnxgx.m3u8
?09,https://fc.imgscloud.com/g/klmsvfnpem/klmsvfnpem.m3u8
?10,https://fc.imgscloud.com/f/cllftifosy/cllftifosy.m3u8
?11,https://fc.imgscloud.com/d/dolploojjr/dolploojjr.m3u8
?12,https://fc.imgscloud.com/b/muppmjqpon/muppmjqpon.m3u8
?13,https://fc.imgscloud.com/d/nolmwwsmpp/nolmwwsmpp.m3u8
?14,https://fc.imgscloud.com/g/falcdufyqb/falcdufyqb.m3u8
?15,https://fc.imgscloud.com/g/sqmenioqik/sqmenioqik.m3u8
?16,https://fc.imgscloud.com/d/jlmmrpnlkq/jlmmrpnlkq.m3u8
?17,https://fc.imgscloud.com/m/skrpmhqnmu/skrpmhqnmu.m3u8
?18,https://fc.imgscloud.com/d/qppnlommhj/qppnlommhj.m3u8
?19,https://fc.imgscloud.com/n/jgomlqlopf/jgomlqlopf.m3u8
?20,https://fc.imgscloud.com/f/sinelmrpfk/sinelmrpfk.m3u8
?21,https://fc.imgscloud.com/f/szpuzvaacc/szpuzvaacc.m3u8
